-120.103209,36.074641,"EZ Trip-CA:Avenal-76 Parking Spaces - i-5  Exit 319, 44779 S Lassen Ave; Avenal",CA 93234>559-386-9859
-119.331024,35.353857,"EZ Trip-CA:Bakersfield - I-5  Exit 253, 29541 Stockdale Hwy; Bakersfield",CA 93314>661-477-1713
-120.0258165,36.9253462,"EZ Trip-CA:Madera-28 Parking Spaces - Hwy 99  Exit 151, 28577 Ave 12; Madera",CA 93637>559-975-9001
-123.057344,44.55519419,"EZ Trip-OR:Albany-30 Parking Spaces - I-5   Exit 228, 33380 Hwy 34 SE; Albany",OR 97322>458-246-1037
-120.8317981,45.66976344,"EZ Trip-OR:Biggs Junction-20 Parking Spaces - I-84  Exit 104, 91558 Biggs Rufus Hwy; Biggs Junction",OR 97065>541-739-2069
-114.004072,51.009581,"Flying J CAN Dealer-AB:Calgary-85 Parking Spaces - 4949 Barlow Trail SE, 4949 Barlow Trail SE; Calgary",AB T2B 3B5>403-273-4949
-113.61202,53.57087,"Flying J CAN Dealer-AB:Edmonton-100 Parking Spaces - 16806 118 Ave, 16806 118 Ave; Edmonton",AB T5V 1M8>780-455-1111
-111.811603,51.61815,"Flying J CAN Dealer-AB:Hanna-100 Parking Spaces - Hwy 9 & Hwy 36 S, Jct Hwy 9 & Hwy 36 S; Hanna",AB T0J 1P0>403-854-5000
-117.2822623,55.0516443,"Flying J CAN Dealer-AB:Valley View-10 Parking Spaces - AB-43 near 36 Ave, 3806 Highway St; Valley View",AB T0H 3N0>780-524-4666
-122.006417,49.146877,"Flying J CAN Dealer-BC:Chilliwack-21 Parking Spaces - 7970 Lickman Rod, 7970 Lickman Rd; Chilliwack",BC V2R 1A9
-115.298001,49.3760152,"Flying J CAN Dealer-BC:Jaffray - Hwy 3 and Tie Lake Rd, 1950 BC-3; Jaffray",BC V0B 1T0>250-429-3816
-79.8765548,43.7726241,"Flying J CAN Dealer-ON:Inglewood - ON-10 and Hurontario, 13947 Hurontario St; Inglewood",ON L7C 2C9>905-838-1355
-79.047768,43.828488,"Flying J CAN Dealer-ON:Pickering-50 Parking Spaces - Hwy 401, 2000 Clements Rd; Pickering",ON L1W 4A1>905-428-9700
-82.96307676,42.23068863,"Flying J CAN Dealer-ON:Tecumseh-17 Parking Spaces - ON-3 and Walker Rd, 5470 Walker Rd; Tecumseh",ON N0R 1L0>519-737-9900
-82.116584,42.987294,"Flying J CAN Dealer-ON:Wyoming-100 Parking Spaces - Hwy 402 Exit 25, 5906 Oil Heritage Road; Wyoming",ON N0N 1T0>519-845-0023
-105.973048,51.249516,"Flying J CAN Dealer-SK:Davidson - Hwy 11 & Hwy 44 Junction, Hwy 11 and Hwy 44 JunctiON:Davidson",SK S0G 1A0>306-567-3222
-113.99839,51.29284,"Flying J Cardlock-AB:Airdrie-10 Parking Spaces - 69-73 E Lake Crescent NE, 85 E Lake Crescent NE; Airdrie",AB T4B 2B5
-114.00491,51.075,"Flying J Cardlock-AB:Calgary - 2525 23 St NE, 2525 23 St NE; Calgary",AB T2E 7M1
